SEND_SMS,READ_PHONE_STATE,SYS_333,getpriority,ACCESS_WIFI_STATE,uname,SYS_336,RECEIVE_SMS,setrlimit,setsockopt,socketpair,RECEIVE_BOOT_COMPLETED,READ_SMS,NrServices,GET_TASKS,getrlimit,NrIntReceiversActions,CHANGE_WIFI_STATE,fsync,SYSTEM_ALERT_WINDOW,GET_ACCOUNTS,wait4,flock,recv,SYS_312,SYS_339,WAKE_LOCK,MOUNT_UNMOUNT_FILESYSTEMS,CHANGE_NETWORK_STATE,sigaltstack,ACCESS_COARSE_LOCATION,WRITE_EXTERNAL_STORAGE,ACCESS_FINE_LOCATION,fstatfs64,WRITE_SETTINGS,CHANGE_CONFIGURATION,BROADCAST_SMS,SYS_311,RECEIVE_MMS,NrIntServicesActions,NrIntServices,NrIntReceivers,ACCESS_LOCATION_EXTRA_COMMANDS,CALL_PHONE,SYS_315,WRITE_APN_SETTINGS,READ_EXTERNAL_STORAGE,VIBRATE,DISABLE_KEYGUARD,RECEIVE_WAP_PUSH,BROADCAST_STICKY,sendmsg,sched_yield,WRITE_SECURE_SETTINGS,fdatasync,RESTART_PACKAGES,ACCESS_NETWORK_STATE,SYS_340,socket,getpid,_llseek,SYS_316,vfork,READ_LOGS,BIND_DEVICE_ADMIN,fchmod,connect,SYS_342,KILL_BACKGROUND_PROCESSES,getdents64,rt_sigreturn,SYS_359,READ_CALL_LOG,SYS_317,kill,BROADCAST_WAP_PUSH,dup,FOREGROUND_SERVICE,statfs64,PROCESS_OUTGOING_CALLS,SEND_RESPOND_VIA_MESSAGE,SYS_306,lseek,READ_CONTACTS,getsockopt,tgkill,SYS_310,epoll_ctl,SYS_331,sysinfo,BIND_WALLPAPER,SYS_329,CLEAR_APP_CACHE,CAMERA,INTERNET,GET_PACKAGE_SIZE,DELETE_PACKAGES,MOUNT_FORMAT_FILESYSTEMS,WRITE_CALL_LOG,pwrite,INSTALL_PACKAGES,getsockname,MODIFY_PHONE_STATE,BIND_REMOTEVIEWS,EXPAND_STATUS_BAR,pread,sigaction,BATTERY_STATS,syscall_983042,munmap,BIND_QUICK_SETTINGS_TILE,ftruncate64,geteuid32,REORDER_TASKS,BLUETOOTH,SET_WALLPAPER_HINTS,rt_sigprocmask,USE_SIP,RECORD_AUDIO,SET_TIME_ZONE,MODIFY_AUDIO_SETTINGS,MEDIA_CONTENT_CONTROL,BLUETOOTH_ADMIN,UPDATE_DEVICE_STATS,TRANSMIT_IR,recvfrom,clone,gettid,BIND_CHOOSER_TARGET_SERVICE,BODY_SENSORS,BIND_ACCESSIBILITY_SERVICE,USE_FINGERPRINT,DIAGNOSTIC,USE_BIOMETRIC,getppid,mprotect,fcntl64,restart_syscall,REQUEST_INSTALL_PACKAGES,SYS_305,prctl,PERSISTENT_ACTIVITY,ACCESS_NOTIFICATION_POLICY,fstat64,madvise,futex,close,MANAGE_DOCUMENTS,mmap2,WRITE_CONTACTS,PACKAGE_USAGE_STATS,ACCESS_BACKGROUND_LOCATION,BIND_NOTIFICATION_LISTENER_SERVICE,SYS_346,SYS_319,CHANGE_COMPONENT_ENABLED_STATE,gettimeofday,msync,REQUEST_DELETE_PACKAGES,mremap,BIND_INPUT_METHOD,exit_group,DELETE_CACHE_FILES,open,SYS_307,truncate,SET_DEBUG_APP,BROADCAST_PACKAGE_REMOVED,BIND_TELECOM_CONNECTION_SERVICE,ANSWER_PHONE_CALLS,MANAGE_OWN_CALLS,SYS_300,BIND_VPN_SERVICE,DUMP,sched_getparam,sched_get_priority_min,sched_get_priority_max,CHANGE_WIFI_MULTICAST_STATE,READ_SYNC_SETTINGS,SYS_343,USE_FULL_SCREEN_INTENT,BIND_DREAM_SERVICE,STATUS_BAR,sched_getscheduler,munlock,mlock,WRITE_SYNC_SETTINGS,READ_CALENDAR,GLOBAL_SEARCH,NFC,BIND_AUTOFILL_SERVICE,ACCOUNT_MANAGER,BIND_NFC_SERVICE,SIGNAL_PERSISTENT_PROCESSES,ADD_VOICEMAIL,GET_ACCOUNTS_PRIVILEGED,write,SYS_367,sched_setscheduler,chdir,class
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
